room_id,nearest_node_id
DKU_SCI1_3_321,SCI1_3_N008
DKU_SCI1_3_322,SCI1_3_N008
DKU_SCI1_3_323,SCI1_3_N009
DKU_SCI1_3_324,SCI1_3_N014
DKU_SCI1_3_325,SCI1_3_N014
DKU_SCI1_3_326,SCI1_3_N015
DKU_SCI1_3_327,SCI1_3_N015
DKU_SCI1_3_327_1,SCI1_3_R_327_1
DKU_SCI1_3_328,SCI1_3_N014
DKU_SCI1_3_329,SCI1_3_N014
DKU_SCI1_4_401,SCI1_4_R_401
DKU_SCI1_4_401_1,SCI1_4_R_401_1
DKU_SCI1_4_401_2,SCI1_4_R_401_2
DKU_SCI1_4_402,SCI1_4_R_402
DKU_SCI1_4_402_1,SCI1_4_R_402_1
DKU_SCI1_4_402_2,SCI1_4_R_402_2
DKU_SCI1_4_403,SCI1_4_R_403
DKU_SCI1_4_404,SCI1_4_R_404
DKU_SCI1_4_405,SCI1_4_R_405
DKU_SCI1_4_406,SCI1_4_R_406
DKU_SCI1_4_407,SCI1_4_R_407
DKU_SCI1_4_408,SCI1_4_R_408
DKU_SCI1_4_409,SCI1_4_R_409
DKU_SCI1_4_410,SCI1_4_R_410
DKU_SCI1_4_411,SCI1_4_R_411
DKU_SCI1_4_412,SCI1_4_R_412
DKU_SCI1_4_413,SCI1_4_R_413
DKU_SCI1_4_414,SCI1_4_R_414
DKU_SCI1_4_414_1,SCI1_4_R_414_1
DKU_SCI1_4_414_2,SCI1_4_R_414_2
DKU_SCI1_4_414_3,SCI1_4_R_414_3
DKU_SCI1_4_415,SCI1_4_R_415
DKU_SCI1_4_416,SCI1_4_R_416
DKU_SCI1_4_417,SCI1_4_R_417
DKU_SCI1_4_417_1,SCI1_4_R_417_1
DKU_SCI1_4_418,SCI1_4_R_418
DKU_SCI1_4_419,SCI1_4_R_419
DKU_SCI1_4_419_1,SCI1_4_R_419_1
DKU_SCI1_4_420,SCI1_4_R_420
DKU_SCI1_4_421,SCI1_4_R_421
DKU_SCI1_5_501,SCI1_5_R_501
DKU_SCI1_5_502,SCI1_5_R_502
DKU_SCI1_5_503,SCI1_5_R_503
DKU_SCI1_5_504,SCI1_5_R_504
DKU_SCI1_5_505,SCI1_5_R_505
DKU_SCI1_5_506,SCI1_5_R_506
DKU_SCI1_5_507,SCI1_5_R_507
DKU_SCI1_5_508,SCI1_5_R_508
DKU_SCI1_5_509,SCI1_5_R_509
DKU_SCI1_5_510,SCI1_5_R_510
DKU_SCI1_5_511,SCI1_5_R_511
DKU_SCI1_5_512,SCI1_5_R_512
DKU_SCI1_5_513,SCI1_5_R_513
DKU_SCI1_5_514,SCI1_5_R_514
DKU_SCI1_5_515,SCI1_5_R_515
DKU_SCI1_5_516,SCI1_5_R_516
DKU_SCI1_5_517,SCI1_5_R_517
DKU_SCI1_5_518,SCI1_5_R_518
DKU_SCI1_5_519,SCI1_5_R_519
DKU_SCI1_5_520,SCI1_5_R_520
DKU_SCI1_5_521,SCI1_5_R_521
DKU_SCI1_5_522,SCI1_5_R_522
DKU_SCI1_5_523,SCI1_5_R_523
DKU_SCI1_5_524,SCI1_5_R_524
DKU_SCI1_5_525,SCI1_5_R_525
DKU_SCI2_1_101,SCI2_1_R_101
DKU_SCI2_1_102,SCI2_1_R_102
DKU_SCI2_1_103,SCI2_1_R_103
DKU_SCI2_1_104,SCI2_1_R_104
